date,price
2018-10-01T00:00:00Z,8.4
2018-10-01T00:30:00Z,10.29
2018-10-01T01:00:00Z,10.5
2018-10-01T01:30:00Z,10.017
2018-10-01T02:00:00Z,12.81
2018-10-01T02:30:00Z,13.02
2018-10-01T03:00:00Z,13.65
2018-10-01T03:30:00Z,13.65
2018-10-01T04:00:00Z,13.65
2018-10-01T04:30:00Z,13.65
2018-10-01T05:00:00Z,15.75
2018-10-01T05:30:00Z,13.86
2018-10-01T06:00:00Z,14.322
2018-10-01T06:30:00Z,16.422
2018-10-01T07:00:00Z,18.522
2018-10-01T07:30:00Z,16.422
2018-10-01T08:00:00Z,14.91
2018-10-01T08:30:00Z,13.65
2018-10-01T09:00:00Z,13.23
2018-10-01T09:30:00Z,12.705
2018-10-01T10:00:00Z,12.705
2018-10-01T10:30:00Z,12.705
2018-10-01T11:00:00Z,13.65
2018-10-01T11:30:00Z,12.705
2018-10-01T12:00:00Z,13.44
2018-10-01T12:30:00Z,12.705
2018-10-01T13:00:00Z,12.348
2018-10-01T13:30:00Z,11.97
2018-10-01T14:00:00Z,11.928
2018-10-01T14:30:00Z,12.18
2018-10-01T15:00:00Z,25.305
2018-10-01T15:30:00Z,27.51
2018-10-01T16:00:00Z,27.72
2018-10-01T16:30:00Z,30.45
2018-10-01T17:00:00Z,30.198
2018-10-01T17:30:00Z,33.39
2018-10-01T18:00:00Z,19.257
2018-10-01T18:30:00Z,18.228
2018-10-01T19:00:00Z,14.49
2018-10-01T19:30:00Z,12.81
2018-10-01T20:00:00Z,13.02
2018-10-01T20:30:00Z,12.285
2018-10-01T21:00:00Z,12.39
2018-10-01T21:30:00Z,10.5
2018-10-01T22:00:00Z,13.167
2018-10-01T22:30:00Z,12.18
2018-10-01T23:00:00Z,10.5
2018-10-01T23:30:00Z,10.08
2018-10-02T00:00:00Z,8.484
2018-10-02T00:30:00Z,8.484
2018-10-02T01:00:00Z,8.421
2018-10-02T01:30:00Z,8.61
2018-10-02T02:00:00Z,8.379
2018-10-02T02:30:00Z,7.917
2018-10-02T03:00:00Z,8.316
2018-10-02T03:30:00Z,8.799
2018-10-02T04:00:00Z,11.13
2018-10-02T04:30:00Z,12.39
2018-10-02T05:00:00Z,13.671
2018-10-02T05:30:00Z,13.65
2018-10-02T06:00:00Z,12.474
2018-10-02T06:30:00Z,14.637
2018-10-02T07:00:00Z,15.12
2018-10-02T07:30:00Z,13.419
2018-10-02T08:00:00Z,15.33
2018-10-02T08:30:00Z,13.566
2018-10-02T09:00:00Z,13.65
2018-10-02T09:30:00Z,12.81
2018-10-02T10:00:00Z,13.44
2018-10-02T10:30:00Z,13.02
2018-10-02T11:00:00Z,13.44
2018-10-02T11:30:00Z,12.852
2018-10-02T12:00:00Z,12.852
2018-10-02T12:30:00Z,12.432
2018-10-02T13:00:00Z,12.81
2018-10-02T13:30:00Z,12.243
2018-10-02T14:00:00Z,11.844
2018-10-02T14:30:00Z,12.768
2018-10-02T15:00:00Z,24.906
2018-10-02T15:30:00Z,26.46
2018-10-02T16:00:00Z,25.494
2018-10-02T16:30:00Z,28.14
2018-10-02T17:00:00Z,28.329
2018-10-02T17:30:00Z,31.521
2018-10-02T18:00:00Z,19.53
2018-10-02T18:30:00Z,18.501
2018-10-02T19:00:00Z,16.17
2018-10-02T19:30:00Z,12.936
2018-10-02T20:00:00Z,13.86
2018-10-02T20:30:00Z,13.125
2018-10-02T21:00:00Z,13.65
2018-10-02T21:30:00Z,12.18
2018-10-02T22:00:00Z,12.999
2018-10-02T22:30:00Z,11.97
2018-10-02T23:00:00Z,11.34
2018-10-02T23:30:00Z,10.71
2018-10-03T00:00:00Z,11.34
2018-10-03T00:30:00Z,11.55
2018-10-03T01:00:00Z,11.55
2018-10-03T01:30:00Z,11.76
2018-10-03T02:00:00Z,13.86
2018-10-03T02:30:00Z,13.86
2018-10-03T03:00:00Z,13.86
2018-10-03T03:30:00Z,14.91
2018-10-03T04:00:00Z,14.7
2018-10-03T04:30:00Z,14.679
2018-10-03T05:00:00Z,16.17
2018-10-03T05:30:00Z,15.54
2018-10-03T06:00:00Z,14.742
2018-10-03T06:30:00Z,17.85
2018-10-03T07:00:00Z,18.69
2018-10-03T07:30:00Z,17.43
2018-10-03T08:00:00Z,17.661
2018-10-03T08:30:00Z,16.023
2018-10-03T09:00:00Z,15.519
2018-10-03T09:30:00Z,14.259
2018-10-03T10:00:00Z,14.7
2018-10-03T10:30:00Z,14.196
2018-10-03T11:00:00Z,15.54
2018-10-03T11:30:00Z,14.07
2018-10-03T12:00:00Z,14.7
2018-10-03T12:30:00Z,13.503
2018-10-03T13:00:00Z,13.944
2018-10-03T13:30:00Z,12.81
2018-10-03T14:00:00Z,11.886
2018-10-03T14:30:00Z,12.39
2018-10-03T15:00:00Z,25.62
2018-10-03T15:30:00Z,28.14
2018-10-03T16:00:00Z,26.04
2018-10-03T16:30:00Z,29.4
2018-10-03T17:00:00Z,30.24
2018-10-03T17:30:00Z,31.5
2018-10-03T18:00:00Z,18.9
2018-10-03T18:30:00Z,17.85
2018-10-03T19:00:00Z,16.8
2018-10-03T19:30:00Z,12.306
2018-10-03T20:00:00Z,14.007
2018-10-03T20:30:00Z,13.188
2018-10-03T21:00:00Z,13.23
2018-10-03T21:30:00Z,12.18
2018-10-03T22:00:00Z,14.49
2018-10-03T22:30:00Z,14.175
2018-10-03T23:00:00Z,13.02
2018-10-03T23:30:00Z,11.34
2018-10-04T00:00:00Z,11.76
2018-10-04T00:30:00Z,12.18
2018-10-04T01:00:00Z,12.432
2018-10-04T01:30:00Z,11.34
2018-10-04T02:00:00Z,12.6
2018-10-04T02:30:00Z,11.76
2018-10-04T03:00:00Z,12.39
2018-10-04T03:30:00Z,12.6
2018-10-04T04:00:00Z,15.96
2018-10-04T04:30:00Z,15.96
2018-10-04T05:00:00Z,15.939
2018-10-04T05:30:00Z,15.75
2018-10-04T06:00:00Z,14.07
2018-10-04T06:30:00Z,18.48
2018-10-04T07:00:00Z,17.136
2018-10-04T07:30:00Z,14.7
2018-10-04T08:00:00Z,17.22
2018-10-04T08:30:00Z,14.7
2018-10-04T09:00:00Z,14.7
2018-10-04T09:30:00Z,12.39
2018-10-04T10:00:00Z,14.637
2018-10-04T10:30:00Z,13.083
2018-10-04T11:00:00Z,14.28
2018-10-04T11:30:00Z,12.558
2018-10-04T12:00:00Z,12.6
2018-10-04T12:30:00Z,11.802
2018-10-04T13:00:00Z,11.76
2018-10-04T13:30:00Z,11.34
2018-10-04T14:00:00Z,12.18
2018-10-04T14:30:00Z,13.23
2018-10-04T15:00:00Z,25.62
2018-10-04T15:30:00Z,28.14
2018-10-04T16:00:00Z,26.376
2018-10-04T16:30:00Z,30.03
2018-10-04T17:00:00Z,28.98
2018-10-04T17:30:00Z,32.34
2018-10-04T18:00:00Z,19.95
2018-10-04T18:30:00Z,18.9
2018-10-04T19:00:00Z,17.64
2018-10-04T19:30:00Z,13.104
2018-10-04T20:00:00Z,16.38
2018-10-04T20:30:00Z,14.196
2018-10-04T21:00:00Z,14.07
2018-10-04T21:30:00Z,12.6
2018-10-04T22:00:00Z,13.44
2018-10-04T22:30:00Z,13.104
2018-10-04T23:00:00Z,13.02
2018-10-04T23:30:00Z,12.495
2018-10-05T00:00:00Z,12.18
2018-10-05T00:30:00Z,12.936
2018-10-05T01:00:00Z,12.936
2018-10-05T01:30:00Z,11.928
2018-10-05T02:00:00Z,12.6
2018-10-05T02:30:00Z,12.432
2018-10-05T03:00:00Z,12.264
2018-10-05T03:30:00Z,11.802
2018-10-05T04:00:00Z,12.558
2018-10-05T04:30:00Z,12.747
2018-10-05T05:00:00Z,14.7
2018-10-05T05:30:00Z,14.784
2018-10-05T06:00:00Z,13.146
2018-10-05T06:30:00Z,17.346
2018-10-05T07:00:00Z,16.758
2018-10-05T07:30:00Z,15.834
2018-10-05T08:00:00Z,16.632
2018-10-05T08:30:00Z,14.301
2018-10-05T09:00:00Z,14.91
2018-10-05T09:30:00Z,13.293
2018-10-05T10:00:00Z,14.7
2018-10-05T10:30:00Z,13.86
2018-10-05T11:00:00Z,13.755
2018-10-05T11:30:00Z,12.138
2018-10-05T12:00:00Z,13.44
2018-10-05T12:30:00Z,12.558
2018-10-05T13:00:00Z,12.18
2018-10-05T13:30:00Z,12.138
2018-10-05T14:00:00Z,12.138
2018-10-05T14:30:00Z,13.02
2018-10-05T15:00:00Z,26.25
2018-10-05T15:30:00Z,28.98
2018-10-05T16:00:00Z,27.216
2018-10-05T16:30:00Z,30.072
2018-10-05T17:00:00Z,30.45
2018-10-05T17:30:00Z,32.277
2018-10-05T18:00:00Z,19.95
2018-10-05T18:30:00Z,18.27
2018-10-05T19:00:00Z,17.136
2018-10-05T19:30:00Z,13.02
2018-10-05T20:00:00Z,13.23
2018-10-05T20:30:00Z,13.02
2018-10-05T21:00:00Z,13.44
2018-10-05T21:30:00Z,12.327
2018-10-05T22:00:00Z,14.49
2018-10-05T22:30:00Z,14.49
2018-10-05T23:00:00Z,13.65
2018-10-05T23:30:00Z,11.97
2018-10-06T00:00:00Z,11.55
2018-10-06T00:30:00Z,13.272
2018-10-06T01:00:00Z,12.6
2018-10-06T01:30:00Z,11.235
2018-10-06T02:00:00Z,12.6
2018-10-06T02:30:00Z,11.592
2018-10-06T03:00:00Z,11.55
2018-10-06T03:30:00Z,11.55
2018-10-06T04:00:00Z,11.55
2018-10-06T04:30:00Z,11.445
2018-10-06T05:00:00Z,12.6
2018-10-06T05:30:00Z,11.76
2018-10-06T06:00:00Z,11.76
2018-10-06T06:30:00Z,13.86
2018-10-06T07:00:00Z,14.7
2018-10-06T07:30:00Z,15.75
2018-10-06T08:00:00Z,17.808
2018-10-06T08:30:00Z,17.85
2018-10-06T09:00:00Z,17.85
2018-10-06T09:30:00Z,17.136
2018-10-06T10:00:00Z,17.808
2018-10-06T10:30:00Z,16.8
2018-10-06T11:00:00Z,16.926
2018-10-06T11:30:00Z,15.96
2018-10-06T12:00:00Z,14.28
2018-10-06T12:30:00Z,11.76
2018-10-06T13:00:00Z,12.6
2018-10-06T13:30:00Z,11.55
2018-10-06T14:00:00Z,11.55
2018-10-06T14:30:00Z,12.39
2018-10-06T15:00:00Z,24.15
2018-10-06T15:30:00Z,25.305
2018-10-06T16:00:00Z,24.36
2018-10-06T16:30:00Z,28.98
2018-10-06T17:00:00Z,29.631
2018-10-06T17:30:00Z,32.403
2018-10-06T18:00:00Z,18.48
2018-10-06T18:30:00Z,17.43
2018-10-06T19:00:00Z,15.54
2018-10-06T19:30:00Z,13.44
2018-10-06T20:00:00Z,14.28
2018-10-06T20:30:00Z,14.07
2018-10-06T21:00:00Z,13.23
2018-10-06T21:30:00Z,11.97
2018-10-06T22:00:00Z,17.64
2018-10-06T22:30:00Z,17.64
2018-10-06T23:00:00Z,14.7
2018-10-06T23:30:00Z,13.23
2018-10-07T00:00:00Z,13.23
2018-10-07T00:30:00Z,14.7
2018-10-07T01:00:00Z,14.49
2018-10-07T01:30:00Z,13.02
2018-10-07T02:00:00Z,12.81
2018-10-07T02:30:00Z,13.125
2018-10-07T03:00:00Z,13.125
2018-10-07T03:30:00Z,13.125
2018-10-07T04:00:00Z,12.81
2018-10-07T04:30:00Z,12.81
2018-10-07T05:00:00Z,13.125
2018-10-07T05:30:00Z,14.49
2018-10-07T06:00:00Z,13.125
2018-10-07T06:30:00Z,14.49
2018-10-07T07:00:00Z,14.49
2018-10-07T07:30:00Z,15.036
2018-10-07T08:00:00Z,17.64
2018-10-07T08:30:00Z,17.64
2018-10-07T09:00:00Z,17.22
2018-10-07T09:30:00Z,16.38
2018-10-07T10:00:00Z,14.553
2018-10-07T10:30:00Z,13.314
2018-10-07T11:00:00Z,11.34
2018-10-07T11:30:00Z,11.34
2018-10-07T12:00:00Z,10.08
2018-10-07T12:30:00Z,9.912
2018-10-07T13:00:00Z,8.61
2018-10-07T13:30:00Z,9.45
2018-10-07T14:00:00Z,9.45
2018-10-07T14:30:00Z,10.71
2018-10-07T15:00:00Z,23.1
2018-10-07T15:30:00Z,24.675
2018-10-07T16:00:00Z,25.83
2018-10-07T16:30:00Z,29.19
2018-10-07T17:00:00Z,30.576
2018-10-07T17:30:00Z,32.76
2018-10-07T18:00:00Z,20.16
2018-10-07T18:30:00Z,19.362
2018-10-07T19:00:00Z,18.606
2018-10-07T19:30:00Z,13.44
2018-10-07T20:00:00Z,15.12
2018-10-07T20:30:00Z,12.369
2018-10-07T21:00:00Z,13.65
2018-10-07T21:30:00Z,10.71
2018-10-07T22:00:00Z,10.29
2018-10-07T22:30:00Z,10.71
2018-10-07T23:00:00Z,11.55
2018-10-07T23:30:00Z,10.584
2018-10-08T00:00:00Z,10.794
2018-10-08T00:30:00Z,11.382
2018-10-08T01:00:00Z,10.08
2018-10-08T01:30:00Z,10.08
2018-10-08T02:00:00Z,10.311
2018-10-08T02:30:00Z,10.311
2018-10-08T03:00:00Z,11.13
2018-10-08T03:30:00Z,11.55
2018-10-08T04:00:00Z,13.23
2018-10-08T04:30:00Z,13.65
2018-10-08T05:00:00Z,15.099
2018-10-08T05:30:00Z,14.07
2018-10-08T06:00:00Z,14.49
2018-10-08T06:30:00Z,19.572
2018-10-08T07:00:00Z,18.984
2018-10-08T07:30:00Z,16.8
2018-10-08T08:00:00Z,17.451
2018-10-08T08:30:00Z,14.028
2018-10-08T09:00:00Z,14.49
2018-10-08T09:30:00Z,12.411
2018-10-08T10:00:00Z,14.28
2018-10-08T10:30:00Z,12.453
2018-10-08T11:00:00Z,13.902
2018-10-08T11:30:00Z,12.495
2018-10-08T12:00:00Z,12.117
2018-10-08T12:30:00Z,11.865
2018-10-08T13:00:00Z,11.865
2018-10-08T13:30:00Z,11.865
2018-10-08T14:00:00Z,11.865
2018-10-08T14:30:00Z,12.516
2018-10-08T15:00:00Z,25.095
2018-10-08T15:30:00Z,27.363
2018-10-08T16:00:00Z,26.712
2018-10-08T16:30:00Z,30.45
2018-10-08T17:00:00Z,30.87
2018-10-08T17:30:00Z,31.899
2018-10-08T18:00:00Z,18.9
2018-10-08T18:30:00Z,18.27
2018-10-08T19:00:00Z,16.884
2018-10-08T19:30:00Z,12.6
2018-10-08T20:00:00Z,13.44
2018-10-08T20:30:00Z,11.949
2018-10-08T21:00:00Z,13.44
2018-10-08T21:30:00Z,11.55
2018-10-08T22:00:00Z,12.516
2018-10-08T22:30:00Z,11.676
2018-10-08T23:00:00Z,10.563
2018-10-08T23:30:00Z,9.24
2018-10-09T00:00:00Z,9.45
2018-10-09T00:30:00Z,9.555
2018-10-09T01:00:00Z,9.66
2018-10-09T01:30:00Z,8.946
2018-10-09T02:00:00Z,10.92
2018-10-09T02:30:00Z,10.563
2018-10-09T03:00:00Z,11.655
2018-10-09T03:30:00Z,11.697
2018-10-09T04:00:00Z,14.217
2018-10-09T04:30:00Z,14.28
2018-10-09T05:00:00Z,17.367
2018-10-09T05:30:00Z,15.75
2018-10-09T06:00:00Z,15.078
2018-10-09T06:30:00Z,19.32
2018-10-09T07:00:00Z,18.816
2018-10-09T07:30:00Z,16.59
2018-10-09T08:00:00Z,16.8
2018-10-09T08:30:00Z,13.65
2018-10-09T09:00:00Z,13.167
2018-10-09T09:30:00Z,11.949
2018-10-09T10:00:00Z,12.957
2018-10-09T10:30:00Z,11.928
2018-10-09T11:00:00Z,13.02
2018-10-09T11:30:00Z,12.096
2018-10-09T12:00:00Z,11.55
2018-10-09T12:30:00Z,11.298
2018-10-09T13:00:00Z,10.92
2018-10-09T13:30:00Z,11.55
2018-10-09T14:00:00Z,12.348
2018-10-09T14:30:00Z,14.133
2018-10-09T15:00:00Z,27.594
2018-10-09T15:30:00Z,27.72
2018-10-09T16:00:00Z,28.35
2018-10-09T16:30:00Z,30.66
2018-10-09T17:00:00Z,31.5
2018-10-09T17:30:00Z,33.432
2018-10-09T18:00:00Z,18.27
2018-10-09T18:30:00Z,17.808
2018-10-09T19:00:00Z,17.472
2018-10-09T19:30:00Z,13.293
2018-10-09T20:00:00Z,13.818
2018-10-09T20:30:00Z,13.02
2018-10-09T21:00:00Z,13.44
2018-10-09T21:30:00Z,12.39
2018-10-09T22:00:00Z,12.621
2018-10-09T22:30:00Z,11.55
2018-10-09T23:00:00Z,11.76
2018-10-09T23:30:00Z,11.34
2018-10-10T00:00:00Z,11.697
2018-10-10T00:30:00Z,12.39
2018-10-10T01:00:00Z,11.97
2018-10-10T01:30:00Z,12.18
2018-10-10T02:00:00Z,12.6
2018-10-10T02:30:00Z,13.44
2018-10-10T03:00:00Z,13.335
2018-10-10T03:30:00Z,13.188
2018-10-10T04:00:00Z,13.65
2018-10-10T04:30:00Z,13.44
2018-10-10T05:00:00Z,17.052
2018-10-10T05:30:00Z,17.64
2018-10-10T06:00:00Z,15.792
2018-10-10T06:30:00Z,19.95
2018-10-10T07:00:00Z,19.551
2018-10-10T07:30:00Z,17.22
2018-10-10T08:00:00Z,16.8
2018-10-10T08:30:00Z,13.02
2018-10-10T09:00:00Z,14.679
2018-10-10T09:30:00Z,12.18
2018-10-10T10:00:00Z,13.797
2018-10-10T10:30:00Z,12.18
2018-10-10T11:00:00Z,12.18
2018-10-10T11:30:00Z,11.76
2018-10-10T12:00:00Z,11.781
2018-10-10T12:30:00Z,11.634
2018-10-10T13:00:00Z,11.655
2018-10-10T13:30:00Z,11.55
2018-10-10T14:00:00Z,11.235
2018-10-10T14:30:00Z,11.613
2018-10-10T15:00:00Z,24.36
2018-10-10T15:30:00Z,27.384
2018-10-10T16:00:00Z,25.305
2018-10-10T16:30:00Z,28.14
2018-10-10T17:00:00Z,29.064
2018-10-10T17:30:00Z,31.5
2018-10-10T18:00:00Z,18.06
2018-10-10T18:30:00Z,16.17
2018-10-10T19:00:00Z,15.12
2018-10-10T19:30:00Z,12.705
2018-10-10T20:00:00Z,12.978
2018-10-10T20:30:00Z,12.18
2018-10-10T21:00:00Z,12.18
2018-10-10T21:30:00Z,10.836
2018-10-10T22:00:00Z,15.54
2018-10-10T22:30:00Z,12.642
2018-10-10T23:00:00Z,11.13
2018-10-10T23:30:00Z,9.24
2018-10-11T00:00:00Z,9.618
2018-10-11T00:30:00Z,10.752
2018-10-11T01:00:00Z,11.088
2018-10-11T01:30:00Z,10.5
2018-10-11T02:00:00Z,11.592
2018-10-11T02:30:00Z,11.55
2018-10-11T03:00:00Z,11.151
2018-10-11T03:30:00Z,11.34
2018-10-11T04:00:00Z,13.356
2018-10-11T04:30:00Z,13.02
2018-10-11T05:00:00Z,15.771
2018-10-11T05:30:00Z,14.7
2018-10-11T06:00:00Z,11.55
2018-10-11T06:30:00Z,14.91
2018-10-11T07:00:00Z,16.422
2018-10-11T07:30:00Z,14.91
